,From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,has_ac,sleeper_category,is_seater,is_multiaxle,has_video,is_pushback,seat_format,brand
0,Sattur,Chennai,PERINBA VILAS TRAVELS,539,0:9:0,"A/C, 35 Seat, 2+2 Semi Sleeper,  Air Suspension, Hi-Tech",09:30:00 PM,06:30:00 AM,True,Semi-Sleeper,True,False,False,False,2+2,
1,Sattur,Chennai,PERINBA VILAS TRAVELS,539,0:10:45,"Non A/C, 34 Seat, 2+1 Executive, Air Suspension, Hi-Tech",07:45:00 PM,06:30:00 AM,False,Other,True,False,False,False,2+1,
2,Sattur,Chennai,KPN Travels,539,0:9:45,2+2 : 33 S.S NON A/C,07:45:00 PM,05:30:00 AM,False,Other,False,False,False,False,2+2,
3,Sattur,Salem,Srs Travels (SRS Travels),304,0:5:45,"2+1, Sleeper, AC, Non-Video",09:45:00 PM,03:30:00 AM,True,Sleeper,False,False,True,False,2+1,
4,Sattur,Coimbatore,India Travel Service,295,0:6:40,2+2 Hitech Air Bus Non/AC,10:20:00 PM,05:00:00 AM,True,Other,False,False,False,False,2+2,
5,Sattur,Hosur,Royal Travels,324,0:8:6,Royal,07:00:00 PM,03:06:00 AM,,Other,False,False,False,False,,
6,Sattur,Bangalore,Srs Travels (SRS Travels),501,0:7:0,"2+1, Sleeper, AC, Non-Video",09:45:00 PM,04:45:00 AM,True,Sleeper,False,False,True,False,2+1,
7,Sattur,Bangalore,Royal Travels,501,0:12:32,Royal,07:00:00 PM,07:32:00 AM,,Other,False,False,False,False,,
8,Sattur,Bangalore,Srs Travels (SRS Travels),501,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,05:00:00 AM,False,Sleeper,False,False,True,False,2+1,
9,Shirva,Gandhinagar,Shree Sahjanand Travels,1388,1:11:30,Odinary,07:00:00 PM,06:30:00 AM,,Other,False,False,False,False,,
10,Shirva,Ahmedabad,Shree Sahjanand Travels,1371,1:10:30,Odinary,07:00:00 PM,05:30:00 AM,,Other,False,False,False,False,,
