,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
0,Sattur,Chennai,PERINBA VILAS TRAVELS,539,09:30:00 PM,06:30:00 AM,True,Semi-Sleeper,True,False,False,False,2+2,,0 days 09:00:00
1,Sattur,Chennai,PERINBA VILAS TRAVELS,539,07:45:00 PM,06:30:00 AM,False,Other,True,False,False,False,2+1,,0 days 10:45:00
2,Sattur,Chennai,KPN Travels,539,07:45:00 PM,05:30:00 AM,False,Other,False,False,False,False,2+2,,0 days 09:45:00
3,Sattur,Salem,Srs Travels (SRS Travels),304,09:45:00 PM,03:30:00 AM,True,Sleeper,False,False,True,False,2+1,,0 days 05:45:00
4,Sattur,Coimbatore,India Travel Service,295,10:20:00 PM,05:00:00 AM,True,Other,False,False,False,False,2+2,,0 days 06:40:00
5,Sattur,Hosur,Royal Travels,324,07:00:00 PM,03:06:00 AM,,Other,False,False,False,False,,,0 days 08:06:00
6,Sattur,Bangalore,Srs Travels (SRS Travels),501,09:45:00 PM,04:45:00 AM,True,Sleeper,False,False,True,False,2+1,,0 days 07:00:00
7,Sattur,Bangalore,Royal Travels,501,07:00:00 PM,07:32:00 AM,,Other,False,False,False,False,,,0 days 12:32:00
8,Sattur,Bangalore,Srs Travels (SRS Travels),501,08:45:00 PM,05:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 08:15:00
9,Shirva,Gandhinagar,Shree Sahjanand Travels,1388,07:00:00 PM,06:30:00 AM,,Other,False,False,False,False,,,1 days 11:30:00
10,Shirva,Ahmedabad,Shree Sahjanand Travels,1371,07:00:00 PM,05:30:00 AM,,Other,False,False,False,False,,,1 days 10:30:00
11,Perdoor,Bangalore,Sugama Tourists  Y (Sugama  Tourists),404,07:30:00 PM,06:00:00 AM,False,Sleeper,True,False,False,False,2+1,,0 days 10:30:00
12,Proddatur,Vijayawada,Diwakar Travels,365,10:30:00 PM,06:00:00 AM,False,Semi-Sleeper,False,False,False,False,,,0 days 07:30:00
13,Thalayolaparambu,Bangalore,Kallada Travels,573,05:45:00 PM,08:05:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 14:20:00
14,Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,11:00:00 PM,05:30:00 AM,True,Other,False,False,False,False,,,0 days 06:30:00
15,Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,09:45:00 PM,03:15:00 AM,False,Other,False,False,False,False,,,0 days 05:30:00
16,Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,09:00:00 PM,03:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
17,Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,12:00:00 AM,06:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
18,Khamgaon,Aurangabad,akash BUS AMRAVATI,200,09:45:00 PM,01:15:00 AM,False,Other,False,False,False,False,,,0 days 03:30:00
19,Khamgaon,Aurangabad,Sangeetam Travels,200,09:00:00 PM,02:00:00 AM,True,Other,False,False,False,False,,,0 days 05:00:00
20,Khamgaon,Aurangabad,akash BUS AMRAVATI,200,09:00:00 PM,03:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
21,Khamgaon,Aurangabad,akash BUS AMRAVATI,200,11:00:00 PM,02:30:00 AM,True,Other,False,False,False,False,,,0 days 03:30:00
22,Khamgaon,Aurangabad,akash BUS AMRAVATI,200,12:00:00 AM,06:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
23,Khamgaon,Usmanabad,akash BUS AMRAVATI-Sangeetam 2x1,360,08:45:00 PM,02:45:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
24,Khamgaon,Thane,akash BUS AMRAVATI-2x1 a/c air sus-lcd,522,09:15:00 PM,05:30:00 AM,True,Other,False,False,False,False,,,0 days 08:15:00
25,Khamgaon,Nagar,Sangeetam Travels,709,09:00:00 PM,02:44:00 PM,True,Other,False,False,False,False,,,0 days 17:44:00
26,Khamgaon,Dhulia,akash BUS AMRAVATI,223,10:00:00 PM,01:30:00 AM,False,Other,False,False,False,False,,,0 days 03:30:00
27,Khamgaon,Sholapur,akash BUS AMRAVATI-Sangeetam 2x1,425,08:45:00 PM,05:45:00 AM,False,Other,False,False,False,False,,,0 days 09:00:00
28,Khamgaon,Malkapur,Vidarbha Express,665,09:00:00 PM,01:38:00 PM,False,Other,False,False,False,False,,,0 days 16:38:00
29,Khamgaon,Bhusawal,Rachna Travels,107,10:00:00 PM,12:41:00 AM,False,Other,False,False,False,False,,,0 days 02:41:00
30,Khamgaon,Bhusawal,Vidarbha Express,107,09:00:00 PM,11:41:00 PM,False,Other,False,False,False,False,,,0 days 02:41:00
31,Khamgaon,Nasik,akash BUS AMRAVATI,320,10:00:00 PM,06:00:00 AM,False,Other,False,False,False,False,,,0 days 08:00:00
32,Khamgaon,Nasik,akash BUS AMRAVATI-2x1 a/c air sus-lcd,280,09:15:00 PM,04:15:00 AM,True,Other,False,False,False,False,,,0 days 07:00:00
